Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,4.500000,4.800000,4.220000,4.740000,4.740000,46100
2018-10-16,4.800000,5.200000,4.630000,5.000000,5.000000,151400
2018-10-17,5.040000,5.100000,4.760000,4.900000,4.900000,36600
2018-10-18,4.790000,4.790000,4.180000,4.400000,4.400000,29000
2018-10-19,4.460000,4.580000,4.460000,4.460000,4.460000,9900
2018-10-22,4.470000,4.560000,4.470000,4.470000,4.470000,3200
2018-10-23,4.340000,4.470000,4.220000,4.360000,4.360000,6000
2018-10-24,4.300000,4.590000,4.270000,4.490000,4.490000,58100
2018-10-25,4.500000,4.650000,4.320000,4.330000,4.330000,29300
2018-10-26,4.320000,5.170000,4.320000,5.160000,5.160000,170300
2018-10-29,5.280000,6.590000,5.250000,6.260000,6.260000,145100
2018-10-30,6.370000,6.960000,6.000000,6.420000,6.420000,176500
2018-10-31,6.890000,6.940000,6.390000,6.640000,6.640000,128900
2018-11-01,6.960000,6.960000,6.400000,6.690000,6.690000,37500
2018-11-02,7.590000,7.870000,6.980000,7.260000,7.260000,62400
2018-11-05,7.800000,9.750000,5.700000,6.260000,6.260000,319000
2018-11-06,6.920000,6.920000,5.000000,5.400000,5.400000,161600
2018-11-07,5.020000,5.190000,4.500000,4.590000,4.590000,134400
2018-11-08,4.570000,5.460000,4.570000,5.100000,5.100000,119200
2018-11-09,5.010000,5.190000,4.930000,5.190000,5.190000,25600
2018-11-12,5.120000,5.120000,4.950000,4.950000,4.950000,23000
2018-11-13,4.950000,5.210000,4.950000,5.010000,5.010000,36900
2018-11-14,5.000000,6.340000,5.000000,6.130000,6.130000,123300
2018-11-15,6.070000,7.400000,5.870000,7.220000,7.220000,185600
2018-11-16,7.120000,9.500000,7.020000,7.150000,7.150000,514400
2018-11-19,7.030000,7.360000,6.440000,6.440000,6.440000,64100
2018-11-20,6.150000,8.800000,6.150000,8.800000,8.800000,184000
2018-11-21,8.810000,9.270000,8.090000,8.360000,8.360000,161800
2018-11-23,8.360000,9.280000,8.360000,9.090000,9.090000,33500
